msa,msa_label_short,msa_label_long
ATL,"Atlanta, GA","Atlanta-Sandy Springs-Roswell, GA"
BAL,"Baltimore, MD","Baltimore-Columbia-Towson, MD"
BOS,"Boston, MA","Boston-Cambridge-Newton, MA-NH"
CHI,"Chicago, IL","Chicago-Naperville-Elgin, IL"
DAL,"Dallas, TX","Dallas-Fort Worth-Arlington, TX"
DEN,"Denver, CO","Denver-Aurora-Lakewood, CO"
DET,"Detroit, MI","Detroit-Warren-Dearborn, MI"
HOU,"Houston, TX","Houston-The Woodlands-Sugar Land, TX"
LOS,"Los Angeles, CA","Los Angeles-Long Beach-Anaheim, CA"
MIA,"Miami, FL","Miami-Fort Lauderdale-West Palm Beach, FL"
MIN,"Minneapolis, MN","Minneapolis-St. Paul-Bloomington, MN-WI"
NEW,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA"
PHI,"Philadelphia, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
PHO,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ"
POR,"Portland, OR","Portland-Salem, OR-WA"
RIV,"Riverside, CA","Riverside-San Bernardino-Ontario, CA"
SAN,"San Diego, CA","San Diego-Carlsbad, CA"
SEA,"Seattle, WA","Seattle-Tacoma-Bellevue, WA"
SFO,"San Francisco, CA","San Francisco-Oakland-Hayward, CA"
STL,"St. Louis, MO","St. Louis, MO-IL"
TAM,"Tampa, FL","Tampa-St. Petersburg-Clearwater, FL"
WDC,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV"
