metric,msa,lookup_id
cpi_all,ATL,CUURA319SA0
cpi_all,BAL,CUURA311SA0
cpi_all,BOS,CUURA103SA0
cpi_all,CHI,CUURA207SA0
cpi_all,DAL,CUURA316SA0
cpi_all,DEN,CUUSA433SA0S
cpi_all,DET,CUURA208SA0
cpi_all,HOU,CUURA318SA0
cpi_all,LOS,CUURA421SA0
cpi_all,MIA,CUURA320SA0
cpi_all,MIN,CUUSA211SA0S
cpi_all,NEW,CUURA101SA0
cpi_all,PHI,CUURA102SA0
cpi_all,PHO,CUUSA429SA0S
cpi_all,POR,CUUSA425SA0
cpi_all,RIV,CUURA421SA0
cpi_all,SAN,CUUSA424SA0S
cpi_all,SEA,CUURA423SA0
cpi_all,SFO,CUURA422SA0
cpi_all,STL,CUUSA209SA0
cpi_all,TAM,CUUSA321SA0S
cpi_all,WDC,CUURA311SA0
personal_income,ATL,ATLA013PCPI
personal_income,BAL,BALT524PCPI
personal_income,BOS,BOST625PCPI
personal_income,CHI,CHIC917PCPI
personal_income,DAL,DALL148PCPI
personal_income,DEN,DENV708PCPI
personal_income,DET,DETR826PCPI
personal_income,HOU,HOUS448PCPI
personal_income,LOS,LALBA906PCPI
personal_income,MIA,MIAM112PCPI
personal_income,MIN,MINN427PCPI
personal_income,NEW,NEWY636PCPI
personal_income,PHI,PHIL942PCPI
personal_income,PHO,PHOE004PCPI
personal_income,POR,PORT941PCPI
personal_income,RIV,RIVE106PCPI
personal_income,SAN,SAND706PCPI
personal_income,SEA,SEAT653PCPI
personal_income,SFO,SANF806PCPI
personal_income,STL,STLPCPI
personal_income,TAM,TAMP312PCPI
personal_income,WDC,WASH911PCPI
electric_kwh,ATL,APUS35C72610
electric_kwh,BAL,APUS35E72610
electric_kwh,BOS,APUS11A72610
electric_kwh,CHI,APUS23A72610
electric_kwh,DAL,APUS37A72610
electric_kwh,DEN,APUS48B72610
electric_kwh,DET,APUS23B72610
electric_kwh,HOU,APUS37B72610
electric_kwh,LOS,APUS49A72610
electric_kwh,MIA,APUS35B72610
electric_kwh,MIN,APUS24A72610
electric_kwh,NEW,APUS12A72610
electric_kwh,PHI,APUS12B72610
electric_kwh,PHO,APUS48A72610
electric_kwh,POR,APUA42572610
electric_kwh,RIV,APUS49C72610
electric_kwh,SAN,APUS49E72610
electric_kwh,SEA,APUS49D72610
electric_kwh,SFO,APUS49B72610
electric_kwh,STL,APUS24B72610
electric_kwh,TAM,APUS35D72610
electric_kwh,WDC,APUA31572610
gasoline_unleaded,ATL,APUS35C74714
gasoline_unleaded,BAL,APUS35E74714
gasoline_unleaded,BOS,APUS11A74714
gasoline_unleaded,CHI,APUS23A74714
gasoline_unleaded,DAL,APUS37A74714
gasoline_unleaded,DEN,APUS48B74714
gasoline_unleaded,DET,APUS23B74714
gasoline_unleaded,HOU,APUS37B74714
gasoline_unleaded,LOS,APUS49A74714
gasoline_unleaded,MIA,APUS35B74714
gasoline_unleaded,MIN,APUS24A74714
gasoline_unleaded,NEW,APUS12A74714
gasoline_unleaded,PHI,APUS12B74714
gasoline_unleaded,PHO,APUS48A74714
gasoline_unleaded,POR,APUA42574714
gasoline_unleaded,RIV,APUS49C74714
gasoline_unleaded,SAN,APUS49E74714
gasoline_unleaded,SEA,APUS49D74714
gasoline_unleaded,SFO,APUS49B74714
gasoline_unleaded,STL,APUS24B74714
gasoline_unleaded,TAM,APUS35D74714
gasoline_unleaded,WDC,APUA31574714
home_list_price,ATL,AVELISPRI12060
home_list_price,BAL,AVELISPRI12580
home_list_price,BOS,AVELISPRI14460
home_list_price,CHI,AVELISPRI16980
home_list_price,DAL,AVELISPRI19100
home_list_price,DEN,AVELISPRI19740
home_list_price,DET,AVELISPRI19820
home_list_price,HOU,AVELISPRI26420
