"","metric","msa","date","value"
"1","CPI","SF","1914-12-01",9.2
"2","CPI","SF","1915-12-01",9.2
"3","CPI","SF","1916-12-01",10
"4","CPI","SF","1917-12-01",11.6
"5","CPI","SF","1918-12-01",14.1
"6","CPI","SF","1919-06-01",14.7
"7","CPI","SF","1919-12-01",16.3
"8","CPI","SF","1920-06-01",17.5
"9","CPI","SF","1920-12-01",16.5
"10","CPI","SF","1921-05-01",15.2
"11","CPI","SF","1921-09-01",15
"12","CPI","SF","1921-12-01",15
"13","CPI","SF","1922-03-01",14.7
"14","CPI","SF","1922-06-01",14.6
"15","CPI","SF","1922-09-01",14.5
"16","CPI","SF","1922-12-01",14.6
"17","CPI","SF","1923-03-01",14.4
"18","CPI","SF","1923-06-01",14.6
"19","CPI","SF","1923-09-01",14.8
"20","CPI","SF","1923-12-01",15
"21","CPI","SF","1924-03-01",14.6
"22","CPI","SF","1924-06-01",14.6
"23","CPI","SF","1924-09-01",14.7
"24","CPI","SF","1924-12-01",14.8
"25","CPI","SF","1925-06-01",15.1
"26","CPI","SF","1925-12-01",15.3
"27","CPI","SF","1926-06-01",15
"28","CPI","SF","1926-12-01",15
"29","CPI","SF","1927-06-01",15
"30","CPI","SF","1927-12-01",14.9
"31","CPI","SF","1928-06-01",14.8
"32","CPI","SF","1928-12-01",15
"33","CPI","SF","1929-06-01",14.8
"34","CPI","SF","1929-12-01",14.9
"35","CPI","SF","1930-06-01",14.6
"36","CPI","SF","1930-12-01",14.1
"37","CPI","SF","1931-06-01",13.3
"38","CPI","SF","1931-12-01",12.9
"39","CPI","SF","1932-06-01",12.2
"40","CPI","SF","1932-12-01",12
"41","CPI","SF","1933-06-01",11.7
"42","CPI","SF","1933-12-01",12.1
"43","CPI","SF","1934-06-01",12.2
"44","CPI","SF","1934-11-01",12.5
"45","CPI","SF","1935-03-01",12.6
"46","CPI","SF","1935-07-01",12.3
"47","CPI","SF","1935-10-01",12.3
"48","CPI","SF","1936-01-01",12.4
"49","CPI","SF","1936-04-01",12.2
"50","CPI","SF","1936-07-01",12.4
"51","CPI","SF","1936-09-01",12.4
"52","CPI","SF","1936-12-01",12.4
"53","CPI","SF","1937-03-01",12.8
"54","CPI","SF","1937-06-01",12.8
"55","CPI","SF","1937-09-01",12.9
"56","CPI","SF","1937-12-01",13
"57","CPI","SF","1938-03-01",12.8
"58","CPI","SF","1938-06-01",12.8
"59","CPI","SF","1938-09-01",12.8
"60","CPI","SF","1938-12-01",12.8
"61","CPI","SF","1939-03-01",12.7
"62","CPI","SF","1939-06-01",12.5
"63","CPI","SF","1939-09-01",12.8
"64","CPI","SF","1939-12-01",12.6
"65","CPI","SF","1940-03-01",12.6
"66","CPI","SF","1940-06-01",12.6
"67","CPI","SF","1940-09-01",12.7
"68","CPI","SF","1940-10-01",12.8
"69","CPI","SF","1940-11-01",12.8
"70","CPI","SF","1940-12-01",12.8
"71","CPI","SF","1941-01-01",12.8
"72","CPI","SF","1941-02-01",12.9
"73","CPI","SF","1941-03-01",12.9
"74","CPI","SF","1941-04-01",13.1
"75","CPI","SF","1941-05-01",13.1
